keyword,url,title,date_published,snippet,scraped_at
jasa,https://jatengprov.go.id/publik/ahmad-luthfi-dorong-industri-jasa-keuangan-gerakkan-ekonomi-desa/,Ahmad Luthfi Dorong Industri Jasa Keuangan Gerakkan Ekonomi Desa,,Ahmad Luthfi Dorong Industri Jasa Keuangan Gerakkan Ekonomi Desa,2025-09-17T14:19:54.423201
jasa,https://news.ddtc.co.id/berita/nasional/1813742/jasa-pelatihan-dan-seminar-dipotong-pph-pasal-23-ini-kata-kring-pajak,Jasa Pelatihan dan Seminar Dipotong PPh Pasal 23? Ini Kata Kring Pajak,,Jasa Pelatihan dan Seminar Dipotong PPh Pasal 23? Ini Kata Kring Pajak,2025-09-17T14:19:54.424892
jasa,https://beritajatim.com/karyawan-pt-dlu-ziarah-makam-abikoesno-tjokrosoejoso-hormati-jasa-menhub-pertama-ri,"Karyawan PT DLU Ziarah Makam Abikoesno Tjokrosoejoso, Hormati Jasa Menhub Pertama RI",,"Karyawan PT DLU Ziarah Makam Abikoesno Tjokrosoejoso, Hormati Jasa Menhub Pertama RI",2025-09-17T14:19:54.424892
jasa,https://wartakota.tribunnews.com/otomotif/867710/promo-spesial-hari-pelanggan-wahana-kasih-diskon-jasa-servis-30-persen-untuk-motor-matic-honda,"Promo Spesial Hari Pelanggan, Wahana Kasih Diskon Jasa Servis 30 Persen untuk Motor Matic Honda",,"Promo Spesial Hari Pelanggan, Wahana Kasih Diskon Jasa Servis 30 Persen untuk Motor Matic Honda",2025-09-17T14:19:54.425660
jasa,https://jatim.antaranews.com/berita/975769/ojk-ajak-pemkab-situbondo-fasilitasi-akses-umkm-ke-jasa-keuangan,OJK ajak Pemkab Situbondo fasilitasi akses UMKM ke jasa keuangan,,OJK ajak Pemkab Situbondo fasilitasi akses UMKM ke jasa keuangan,2025-09-17T14:19:54.426189
