keyword,url,title,date_published,snippet,scraped_at
contoh campaign kreatif yang viral,https://www.inilah.com/kumpulan-contoh-prompt-ai-keren,"50 Contoh Prompt AI Keren untuk Konten Kreatif, Lucu, dan Unik di ChatGPT dan DALL-E",,"50 Contoh Prompt AI Keren untuk Konten Kreatif, Lucu, dan Unik di ChatGPT dan DALL-E",2025-09-22T16:20:01.175765
contoh campaign kreatif yang viral,https://kumparan.com/nadhifa-nada-nisrina/strategi-kontroversial-rabbani-humor-sebagai-pedang-bermata-dua-247OaZLsByv,Strategi Kontroversial Rabbani: Humor sebagai Pedang Bermata Dua? - kumparan.com,,Strategi Kontroversial Rabbani: Humor sebagai Pedang Bermata Dua? - kumparan.com,2025-09-22T16:20:01.175765
contoh campaign kreatif yang viral,https://www.marketeers.com/sukses-di-pasar-ini-strategi-co-branding-aeris-beaute-x-kopi-kenangan/,"Sukses di Pasar, Ini Strategi Co-branding Aeris Beauté X Kopi Kenangan",,"Sukses di Pasar, Ini Strategi Co-branding Aeris Beauté X Kopi Kenangan",2025-09-22T16:20:01.175765
