keyword,url,title,date_published,snippet,scraped_at
buat,https://aceh.tribunnews.com/nanggroe/986690/yara-minta-bupati-aceh-singkil-buat-proyek-percontohan-program-plasma,YARA Minta Bupati Aceh Singkil Buat Proyek Percontohan Program Plasma,,YARA Minta Bupati Aceh Singkil Buat Proyek Percontohan Program Plasma,2025-09-17T13:36:12.213837
buat,https://regional.kompas.com/read/2025/09/17/102818678/apa-itu-kemarau-basah-fenomena-yang-buat-purworejo-tak-jadi-kekeringan,Apa Itu Kemarau Basah? Fenomena yang Buat Purworejo Tak Jadi Kekeringan,,Apa Itu Kemarau Basah? Fenomena yang Buat Purworejo Tak Jadi Kekeringan,2025-09-17T13:36:12.213837
buat,https://kumparan.com/kumparanbisnis/ceo-danantara-penempatan-dana-rp-25-t-di-btn-jadi-vitamin-buat-sektor-perumahan-25s1OTxa2TE,CEO Danantara: Penempatan Dana Rp 25 T di BTN Jadi Vitamin Buat Sektor Perumahan - kumparan.com,,CEO Danantara: Penempatan Dana Rp 25 T di BTN Jadi Vitamin Buat Sektor Perumahan - kumparan.com,2025-09-17T13:36:12.213837
buat,https://banpos.co/2025/09/17/disdik-lebak-tegur-kepsek-akibat-buat-siswa-trauma/,Disdik Lebak Tegur Kepsek Akibat Buat Siswa Trauma,,Disdik Lebak Tegur Kepsek Akibat Buat Siswa Trauma,2025-09-17T13:36:12.213837
buat,https://finance.detik.com/energi/d-8116274/swasta-belum-beli-bbm-pertamina-buat-isi-spbu,Swasta Belum Beli BBM Pertamina buat Isi SPBU,,Swasta Belum Beli BBM Pertamina buat Isi SPBU,2025-09-17T13:36:12.213837
buat,https://www.cnbcindonesia.com/news/20250917113442-4-667705/gelar-creator-fest-2025-bri-siapkan-wadah-kreativitas-buat-masyarakat,"Gelar Creator Fest 2025, BRI Siapkan Wadah Kreativitas Buat Masyarakat",,"Gelar Creator Fest 2025, BRI Siapkan Wadah Kreativitas Buat Masyarakat",2025-09-17T13:36:12.213837
buat,https://news.detik.com/berita/d-8115720/polemik-ijazah-capres-komisi-ii-dpr-minta-kpu-konsultasi-sebelum-buat-aturan,"Polemik Ijazah Capres, Komisi II DPR Minta KPU Konsultasi Sebelum Buat Aturan",,"Polemik Ijazah Capres, Komisi II DPR Minta KPU Konsultasi Sebelum Buat Aturan",2025-09-17T13:36:12.213837
buat,https://inet.detik.com/tips-dan-trik/d-8115794/cara-buat-wallpaper-3d-di-ios-26-foto-biasa-jadi-lock-screen-keren,Cara Buat Wallpaper 3D di iOS 26: Foto Biasa Jadi Lock Screen Keren,,Cara Buat Wallpaper 3D di iOS 26: Foto Biasa Jadi Lock Screen Keren,2025-09-17T13:36:12.213837
buat,https://www.cnbcindonesia.com/news/20250916183457-4-667562/wajib-catat-quote-of-the-day-menkeu-purbaya-buat-anak-muda-ri,Wajib Catat! Quote of The Day Menkeu Purbaya Buat Anak Muda RI,,Wajib Catat! Quote of The Day Menkeu Purbaya Buat Anak Muda RI,2025-09-17T13:36:12.213837
buat,https://www.its.ac.id/tkelautan/detikedu-dosen-its-buat-inovasi-simulasi-prediksi-gelombang-laut-bisa-ukur-sampai-tahun-2100/,"(DETIKEDU) Dosen ITS Buat Inovasi Simulasi-Prediksi Gelombang Laut, Bisa Ukur sampai Tahun 2100",,"(DETIKEDU) Dosen ITS Buat Inovasi Simulasi-Prediksi Gelombang Laut, Bisa Ukur sampai Tahun 2100",2025-09-17T13:36:12.213837
